candidate_index,confidence_floor,deterioration_adjustment,panic_response,recovery_adjustment,transformed_C_min,transformed_alpha_d,transformed_alpha_r,transformed_kappa_P,z_C_min,z_alpha_d,z_alpha_r,z_kappa_P,first_six_hour_burden__simulated_mean,first_six_hour_burden__analytic_mcse,first_six_hour_burden__raw_mc_lower,first_six_hour_burden__raw_mc_upper,first_six_hour_burden__adjusted_mc_lower,first_six_hour_burden__adjusted_mc_upper,first_six_hour_burden__empirical_band_lower,first_six_hour_burden__empirical_band_upper,first_six_hour_burden__inner_pass,first_six_hour_burden__outer_pass,maximum_downside_deviation__simulated_mean,maximum_downside_deviation__analytic_mcse,maximum_downside_deviation__raw_mc_lower,maximum_downside_deviation__raw_mc_upper,maximum_downside_deviation__adjusted_mc_lower,maximum_downside_deviation__adjusted_mc_upper,maximum_downside_deviation__empirical_band_lower,maximum_downside_deviation__empirical_band_upper,maximum_downside_deviation__inner_pass,maximum_downside_deviation__outer_pass,recovery_completion_hours__simulated_mean,recovery_completion_hours__analytic_mcse,recovery_completion_hours__raw_mc_lower,recovery_completion_hours__raw_mc_upper,recovery_completion_hours__adjusted_mc_lower,recovery_completion_hours__adjusted_mc_upper,recovery_completion_hours__empirical_band_lower,recovery_completion_hours__empirical_band_upper,recovery_completion_hours__inner_pass,recovery_completion_hours__outer_pass,failed_recovery_attempts__simulated_mean,failed_recovery_attempts__analytic_mcse,failed_recovery_attempts__raw_mc_lower,failed_recovery_attempts__raw_mc_upper,failed_recovery_attempts__adjusted_mc_lower,failed_recovery_attempts__adjusted_mc_upper,failed_recovery_attempts__empirical_band_lower,failed_recovery_attempts__empirical_band_upper,failed_recovery_attempts__inner_pass,failed_recovery_attempts__outer_pass,initial_gap_q4_q1_burden_contrast__simulated_mean,initial_gap_q4_q1_burden_contrast__analytic_mcse,initial_gap_q4_q1_burden_contrast__raw_mc_lower,initial_gap_q4_q1_burden_contrast__raw_mc_upper,initial_gap_q4_q1_burden_contrast__adjusted_mc_lower,initial_gap_q4_q1_burden_contrast__adjusted_mc_upper,initial_gap_q4_q1_burden_contrast__empirical_band_lower,initial_gap_q4_q1_burden_contrast__empirical_band_upper,initial_gap_q4_q1_burden_contrast__inner_pass,initial_gap_q4_q1_burden_contrast__outer_pass,numerical_bound_pass,stage1_preservation_pass,structural_pass,active_bad_debt_occurrence,active_bad_debt_occurrence_share,confidence_floor_binding_share,failed_recovery_attempts_mean,maximum_active_bad_debt_dai,maximum_unresolved_tab_dai,price_bound_share,recovery_probability_168h,recovery_probability_48h,recovery_probability_792h,right_censoring_share,unresolved_backlog_occurrence,unresolved_backlog_occurrence_share,candidate_classification,result_checksum
0,0.028257581405341833,0.004441847093403558,0.7246945004398565,0.0037534781618436936,-3.5377289779767387,-5.4122332356128116,1.6961132669763608,-1.0299647732022907,0.028257581405341625,0.0044418470934033377,0.84502642322331667,0.26309093367308378,9.9169832725989941e-05,4.7137514348141721e-05,2.1628621623296813e-05,0.00017671104382868306,2.1628621623296813e-05,0.00017671104382868306,0.077561113011999916,0.1758450431439999,False,False,0.0070321624858553193,0.00027201925415998817,0.0065846908127621387,0.0074796341589485,0.0065846908127621387,0.0074796341589485,0.0021472894676802003,0.0043219244962797998,False,False,87.529138513513516,0.38662787487716416,86.893135659340587,88.165141367686445,86.893135659340587,88.165141367686445,29.880602871860003,68.03831604714,False,False,0.036317567567567564,0.0038698700936832583,0.029951631263458605,0.042683503871676527,0.029951631263458605,0.042683503871676527,0.52468278421999992,5.7185604590200008,False,False,9.928944489116299e-05,5.896862704475446e-05,2.2860534025419081e-06,0.00019629283637978407,2.2860534025419081e-06,0.00019629283637978407,0.45521164327499997,0.74291964327500004,False,False,False,True,True,True,0.00021114864864864866,0,0.036317567567567564,100.21340230491739,764958.03674140328,0.053079847545996171,0.92145270270270274,0.30510979729729731,0.98585304054054057,0.014146959459459459,True,0.17461993243243243,rejected,9e23dba23976273865fa33abb2684513e51af978b38036738213ea901c3def53
1,0.61283136066049337,0.96728213783353534,2.1279520791896802,0.20799184724873093,0.45922943444856934,3.3865690466239506,-1.2948852857997468,1.2226262300513759,0.61283136066049337,0.96728213783353556,0.21502707339823246,0.77252538688480854,0.70384049321066056,0.0052854698829996865,0.69514589525312609,0.71253509116819502,0.69514589525312609,0.71253509116819502,0.077561113011999916,0.1758450431439999,False,False,0.48099451013513511,0.0011453979433536201,0.47911033051831842,0.48287868975195181,0.47911033051831842,0.48287868975195181,0.0021472894676802003,0.0043219244962797998,False,False,723.42124155405406,1.6007529618432899,720.78800293182189,726.05448017628623,720.78800293182189,726.05448017628623,29.880602871860003,68.03831604714,False,False,0.22086148648648649,0.0052840090367803913,0.21216929162098275,0.22955368135199022,0.21216929162098275,0.22955368135199022,0.52468278421999992,5.7185604590200008,False,False,-0.0058252541594329132,0.014826085409049677,-0.030214164657319631,0.018563656338453804,-0.030214164657319631,0.018563656338453804,0.45521164327499997,0.74291964327500004,False,False,False,True,True,True,0.034839527027027029,0.97487331081081086,0.22086148648648649,319.36773436649145,1538684.3975445619,0.98716560488204264,0.028293918918918918,0.013302364864864864,0.028293918918918918,0.97170608108108103,True,0.4609375,rejected,ff4b320a092cd29a44b8df8a663643a625b1df5a9618dc3e4f62e9a34618d1ad
2,0.41626929957419634,0.6094713406637311,0.34493283108254946,0.44797101749117613,-0.33810734150426613,0.44509056878265862,1.0202213934930826,-1.9438693071875321,0.41626929957419628,0.6094713406637311,0.73501572199165821,0.12522338796406987,0.11188528597836123,0.002964665498744619,0.10700841123292633,0.11676216072379612,0.10700841123292633,0.11676216072379612,0.077561113011999916,0.1758450431439999,True,True,0.15678176123576285,0.0024058178314190948,0.15282419090307844,0.16073933156844725,0.15282419090307844,0.16073933156844725,0.0021472894676802003,0.0043219244962797998,False,False,276.90498310810813,3.2790374409878984,271.51096651768302,282.29899969853324,271.51096651768302,282.29899969853324,29.880602871860003,68.03831604714,False,False,0.13914695945945946,0.0065012386827273975,0.1284524218263729,0.14984149709254602,0.1284524218263729,0.14984149709254602,0.52468278421999992,5.7185604590200008,False,False,0.0067692633801295782,0.0078951149049321743,-0.0062182006384838492,0.019756727398743006,-0.0062182006384838492,0.019756727398743006,0.45521164327499997,0.74291964327500004,False,False,False,True,True,True,0.01583614864864865,0.33298141891891891,0.13914695945945946,241.52458249665119,1158624.9252501519,0.77991396169760774,0.67039695945945943,0.24324324324324326,0.68327702702702697,0.31672297297297297,True,0.23944256756756757,rejected,e70cf041d41fbe3a361c905d3cf587321e56cdaeef4bf796bd74563387c3086b
3,0.94253494683653083,0.41690855380147701,1.792345271883085,0.13592243995740558,2.7973960055409197,-0.33547712628308868,-0.72622082256218845,0.62206339875603767,0.94253494683653105,0.41690855380147696,0.32602458912879234,0.65068769082427025,0.00080423704542878244,0.00016720451683059853,0.00052918561524244786,0.001079288475615117,0.00052918561524244786,0.001079288475615117,0.077561113011999916,0.1758450431439999,False,False,0.00010593996230679018,6.3837428295609465e-06,9.5438705352162423e-05,0.00011644121926141793,9.5438705352162423e-05,0.00011644121926141793,0.0021472894676802003,0.0043219244962797998,False,False,83.600295608108112,0.30745725166328419,83.094528429122008,84.106062787094217,83.094528429122008,84.106062787094217,29.880602871860003,68.03831604714,False,False,0.078125,0.0057319007931811612,0.06869602319521699,0.08755397680478301,0.06869602319521699,0.08755397680478301,0.52468278421999992,5.7185604590200008,False,False,-5.4130246255912036e-05,0.00047691431768900156,-0.00083865429885431964,0.00073039380634249557,-0.00083865429885431964,0.00073039380634249557,0.45521164327499997,0.74291964327500004,False,False,True,True,True,True,0.00021114864864864866,0.9911317567567568,0.078125,100.21340230491739,764958.03674140328,0,0.92124155405405406,0.29919763513513514,0.99978885135135132,0.00021114864864864866,True,0.17525337837837837,rejected,a30da871c4becdbac884c17d3512e5ed7845bb66076c93fcd0c69703c5136498
4,0.65993333514779795,0.34308112040162092,1.4893072365583666,0.18745329591690094,0.66299715108196233,-0.64959361809828364,0.18606230958591069,0.16305496195751062,0.65993333514779806,0.34308112040162086,0.54638184607028961,0.54067366477102041,0.49189395919484974,0.0051602751782033936,0.48340530652670516,0.50038261186299438,0.48340530652670516,0.50038261186299438,0.077561113011999916,0.1758450431439999,False,False,0.43375211148648651,0.0020998067713168794,0.43029792934767025,0.43720629362530278,0.43029792934767025,0.43720629362530278,0.0021472894676802003,0.0043219244962797998,False,False,657.75675675675677,2.917584084868623,652.95733093714784,662.5561825763657,652.95733093714784,662.5561825763657,29.880602871860003,68.03831604714,False,False,0.2690033783783784,0.0055769592510832525,0.25982928041034647,0.27817747634641032,0.25982928041034647,0.27817747634641032,0.52468278421999992,5.7185604590200008,False,False,-0.060543719189789069,0.014215164319951488,-0.083927664496109264,-0.037159773883468875,-0.083927664496109264,-0.037159773883468875,0.45521164327499997,0.74291964327500004,False,False,False,True,True,True,0.033783783783783786,0.89083614864864868,0.2690033783783784,319.36773436649145,1538684.3975445619,0.96565083439320587,0.12373310810810811,0.051731418918918921,0.12373310810810811,0.87626689189189189,True,0.43496621621621623,rejected,6d4145a43951ce9c9f903f86305ec8e83340ca6d34b857adcec7b213c37fa5e7
5,0.19982931297272455,0.63050833903253067,0.13938560819272006,0.24752420373583633,-1.3873614966657135,0.53439820967025109,-0.43648519602148095,-2.9318341636887957,0.19982931297272441,0.63050833903253078,0.39257879462093115,0.050602136179804795,0.011418113777482712,0.0013242200629111399,0.0092397717739938871,0.013596455780971538,0.0092397717739938871,0.013596455780971538,0.077561113011999916,0.1758450431439999,False,False,0.046561411989537518,0.0016681974558361019,0.043817227174687133,0.049305596804387904,0.043817227174687133,0.049305596804387904,0.0021472894676802003,0.0043219244962797998,False,False,135.40582770270271,2.1717550698685462,131.83329061276896,138.97836479263646,131.83329061276896,138.97836479263646,29.880602871860003,68.03831604714,False,False,0.13407939189189189,0.009138514318880504,0.11904653583733346,0.14911224794645031,0.11904653583733346,0.14911224794645031,0.52468278421999992,5.7185604590200008,False,False,-0.020198955973696996,0.004203939163280262,-0.027114435897293027,-0.013283476050100964,-0.027114435897293027,-0.013283476050100964,0.45521164327499997,0.74291964327500004,False,False,False,True,True,True,0.0038006756756756759,0.093538851351351357,0.13407939189189189,225.9846433812211,764958.03674140328,0.40470234575507186,0.86444256756756754,0.29201858108108109,0.90603885135135132,0.093961148648648643,True,0.18876689189189189,rejected,82ca7189d6d628e2a9ec61bc74d9f4e3df758316d96a7efba63724470ddc7f54
6,0.77090599481016386,0.79274580255150784,2.5097032431979285,0.7421100046071829,1.2134340174801388,1.3415565717307143,2.6848386909559463,2.3273281056325192,0.77090599481016397,0.79274580255150795,0.93612605985254049,0.91111519280821085,0.68450606167002825,0.0054239312145565842,0.67558369482208269,0.69342842851797382,0.67558369482208269,0.69342842851797382,0.077561113011999916,0.1758450431439999,False,False,0.47775443412162161,0.0012621474339695161,0.47567820159274177,0.47983066665050145,0.47567820159274177,0.47983066665050145,0.0021472894676802003,0.0043219244962797998,False,False,718.90582770270271,1.7628266984226344,716.00597778379745,721.80567762160797,716.00597778379745,721.80567762160797,29.880602871860003,68.03831604714,False,False,0.2204391891891892,0.0053570311371162107,0.21162687296863303,0.22925150540974537,0.21162687296863303,0.22925150540974537,0.52468278421999992,5.7185604590200008,False,False,-0.012369763801026501,0.015169711646004953,-0.037323939458704651,0.012584411856651649,-0.037323939458704651,0.012584411856651649,0.45521164327499997,0.74291964327500004,False,False,False,True,True,True,0.034839527027027029,0.9809966216216216,0.2204391891891892,319.36773436649145,1538684.3975445619,0.98333232633538192,0.034839527027027029,0.016891891891891893,0.034839527027027029,0.96516047297297303,True,0.45967060810810811,rejected,9079aeb2ee6cb869b7c3f5d38980c38136d70a37679b5a126a9ada455289bb45
7,0.36919402796775103,0.23556083999574196,1.2012043833777311,0.00089972179903048395,-0.53567599554235201,-1.1771732167597606,-5.5638120987935586,-0.25707992311087385,0.36919402796775097,0.23556083999574184,0.0038194879889488238,0.436081662774086,0.44152113031640761,0.0048131948952213743,0.43360342471376845,0.44943883591904676,0.43360342471376845,0.44943883591904676,0.077561113011999916,0.1758450431439999,False,False,0.45873205236486492,0.0015133010012300908,0.45624267221784143,0.46122143251188841,0.45624267221784143,0.46122143251188841,0.0021472894676802003,0.0043219244962797998,False,False,692.37098817567562,2.1078197303531843,688.90362471924459,695.83835163210665,688.90362471924459,695.83835163210665,29.880602871860003,68.03831604714,False,False,0.32875844594594594,0.0060765571118733003,0.31876250949691437,0.33875438239497752,0.31876250949691437,0.33875438239497752,0.52468278421999992,5.7185604590200008,False,False,-0.086900396795897228,0.013216664155859604,-0.10864180933228627,-0.065158984259508182,-0.10864180933228627,-0.065158984259508182,0.45521164327499997,0.74291964327500004,False,False,False,True,True,True,0.034628378378378379,0.92673141891891897,0.32875844594594594,319.36773436649145,1538684.3975445619,0.96872469589394006,0.073268581081081086,0.034206081081081079,0.073268581081081086,0.92673141891891897,True,0.45249155405405406,rejected,752049b6ae02f44481af9a2da1b49abf89046364f99555e4d2f2b2c85366b274
8,0.86117926239967335,0.18508075084537284,0.17258407217200902,0.1168192892662942,1.8251192420562776,-1.4822968066402844,0.53728284939646376,-2.7054180096024529,0.86117926239967346,0.1850807508453727,0.63118011318147182,0.062654407694935813,0.00014182771800240723,6.0595717816105836e-05,4.2147762194913129e-05,0.00024150767380990134,4.2147762194913129e-05,0.00024150767380990134,0.077561113011999916,0.1758450431439999,False,False,2.9747935696688969e-05,3.1410765769081312e-06,2.4580864727675094e-05,3.4915006665702848e-05,2.4580864727675094e-05,3.4915006665702848e-05,0.0021472894676802003,0.0043219244962797998,False,False,83.168285472972968,0.30251589452945143,82.670646826472023,83.665924119473914,82.670646826472023,83.665924119473914,29.880602871860003,68.03831604714,False,False,0.024282094594594593,0.0027387379366780431,0.019776870688759211,0.028787318500429974,0.019776870688759211,0.028787318500429974,0.52468278421999992,5.7185604590200008,False,False,0.0001460409877016346,9.4261040482110364e-05,-9.0184238914369668e-06,0.00030110039929470613,-9.0184238914369668e-06,0.00030110039929470613,0.45521164327499997,0.74291964327500004,False,False,True,True,True,True,0.00021114864864864866,0.8369932432432432,0.024282094594594593,100.21340230491739,764958.03674140328,0,0.92166385135135132,0.30510979729729731,0.99978885135135132,0.00021114864864864866,True,0.17461993243243243,rejected,af32bc4ec804b5da8d4d76afbb0e16750a836043c74a83db0fe35f53794d9d4f
9,0.28001934662461292,0.85103840846568335,1.6203682292715647,0.26193203577178475,-0.94436564546692858,1.7427687631087574,-0.81052170148829306,0.35675075829445085,0.28001934662461281,0.85103840846568346,0.30777933541685343,0.58825365733355284,0.61260465589844937,0.005276524363787294,0.60392477332001926,0.62128453847687948,0.60392477332001926,0.62128453847687948,0.077561113011999916,0.1758450431439999,False,False,0.46291279560810811,0.0016353384944578957,0.46022266378472487,0.46560292743149134,0.46022266378472487,0.46560292743149134,0.0021472894676802003,0.0043219244962797998,False,False,698.27385979729729,2.2774459023748834,694.52746128789056,702.02025830670402,694.52746128789056,702.02025830670402,29.880602871860003,68.03831604714,False,False,0.24429898648648649,0.0053432085656977537,0.23550940839591367,0.25308856457705931,0.23550940839591367,0.25308856457705931,0.52468278421999992,5.7185604590200008,False,False,-0.035640313587182781,0.014607408093692466,-0.059669499901306891,-0.011611127273058675,-0.059669499901306891,-0.011611127273058675,0.45521164327499997,0.74291964327500004,False,False,False,True,True,True,0.034628378378378379,0.93517736486486491,0.24429898648648649,319.36773436649145,1538684.3975445619,0.98135342496031563,0.064822635135135129,0.029560810810810811,0.064822635135135129,0.93517736486486491,True,0.45206925675675674,rejected,958a78f04aaa1c40e79178099b0c8da8efda726d36bd2d11dff3dbda04a00269
